Total train samples: 50000
Total test samples: 10000
Batch size: 128
iteration every epoch: 390
Initial learning rate: 0.1
[2022-11-02_10:41:50] Epoch:11/200, iteration:90/390, lr: 0.1, loss: 0.4032306969165802, time: 6.503918409347534
[2022-11-02_10:41:53] Epoch:11/200, iteration:190/390, lr: 0.1, loss: 0.43404412269592285, time: 3.5558269023895264
[2022-11-02_10:41:57] Epoch:11/200, iteration:290/390, lr: 0.1, loss: 0.47575879096984863, time: 3.5698623657226562
[2022-11-02_10:42:00] Epoch:11/200, iteration:390/390, lr: 0.1, loss: 0.2503040134906769, time: 3.576507568359375
[2022-11-02_10:42:04] Epoch:12/200, iteration:99/390, lr: 0.1, loss: 0.378580778837204, time: 3.891120433807373
[2022-11-02_10:42:08] Epoch:12/200, iteration:199/390, lr: 0.1, loss: 0.45992332696914673, time: 3.5869572162628174
[2022-11-02_10:42:11] Epoch:12/200, iteration:299/390, lr: 0.1, loss: 0.347747802734375, time: 3.595102548599243
[2022-11-02_10:42:15] Epoch:13/200, iteration:8/390, lr: 0.1, loss: 0.25184181332588196, time: 3.933263063430786
[2022-11-02_10:42:19] Epoch:13/200, iteration:108/390, lr: 0.1, loss: 0.3407164216041565, time: 3.602254867553711
[2022-11-02_10:42:23] Epoch:13/200, iteration:208/390, lr: 0.1, loss: 0.5022348761558533, time: 3.5910065174102783
[2022-11-02_10:42:26] Epoch:13/200, iteration:308/390, lr: 0.1, loss: 0.37542787194252014, time: 3.6005983352661133
[2022-11-02_10:42:30] Epoch:14/200, iteration:17/390, lr: 0.1, loss: 0.3239355683326721, time: 3.8888485431671143
[2022-11-02_10:42:34] Epoch:14/200, iteration:117/390, lr: 0.1, loss: 0.2858368158340454, time: 3.6182403564453125
[2022-11-02_10:42:37] Epoch:14/200, iteration:217/390, lr: 0.1, loss: 0.22161725163459778, time: 3.615880012512207
[2022-11-02_10:42:41] Epoch:14/200, iteration:317/390, lr: 0.1, loss: 0.31632673740386963, time: 3.5996551513671875
[2022-11-02_10:42:45] Epoch:15/200, iteration:26/390, lr: 0.1, loss: 0.291993111371994, time: 3.9395718574523926
[2022-11-02_10:42:48] Epoch:15/200, iteration:126/390, lr: 0.1, loss: 0.32235878705978394, time: 3.5951449871063232
[2022-11-02_10:42:52] Epoch:15/200, iteration:226/390, lr: 0.1, loss: 0.387450248003006, time: 3.6178157329559326
[2022-11-02_10:42:56] Epoch:15/200, iteration:326/390, lr: 0.1, loss: 0.2774347960948944, time: 3.6011366844177246
[2022-11-02_10:43:00] Epoch:16/200, iteration:35/390, lr: 0.1, loss: 0.25738489627838135, time: 3.892788887023926
[2022-11-02_10:43:03] Epoch:16/200, iteration:135/390, lr: 0.1, loss: 0.2446228265762329, time: 3.6298630237579346
[2022-11-02_10:43:07] Epoch:16/200, iteration:235/390, lr: 0.1, loss: 0.30320778489112854, time: 3.632817268371582
[2022-11-02_10:43:10] Epoch:16/200, iteration:335/390, lr: 0.1, loss: 0.3665964901447296, time: 3.60249662399292
[2022-11-02_10:43:14] Epoch:17/200, iteration:44/390, lr: 0.1, loss: 0.39565613865852356, time: 3.90535306930542
[2022-11-02_10:43:18] Epoch:17/200, iteration:144/390, lr: 0.1, loss: 0.3939878046512604, time: 3.6111881732940674
[2022-11-02_10:43:22] Epoch:17/200, iteration:244/390, lr: 0.1, loss: 0.33525562286376953, time: 3.6156227588653564
[2022-11-02_10:43:25] Epoch:17/200, iteration:344/390, lr: 0.1, loss: 0.34877312183380127, time: 3.6210594177246094
[2022-11-02_10:43:29] Epoch:18/200, iteration:53/390, lr: 0.1, loss: 0.4376761019229889, time: 3.884455680847168
[2022-11-02_10:43:33] Epoch:18/200, iteration:153/390, lr: 0.1, loss: 0.3401540219783783, time: 3.6217405796051025
[2022-11-02_10:43:36] Epoch:18/200, iteration:253/390, lr: 0.1, loss: 0.2393421083688736, time: 3.6237435340881348
[2022-11-02_10:43:40] Epoch:18/200, iteration:353/390, lr: 0.1, loss: 0.32719117403030396, time: 3.5978317260742188
[2022-11-02_10:43:44] Epoch:19/200, iteration:62/390, lr: 0.1, loss: 0.17943882942199707, time: 3.8926098346710205
[2022-11-02_10:43:47] Epoch:19/200, iteration:162/390, lr: 0.1, loss: 0.2858470678329468, time: 3.6201603412628174
[2022-11-02_10:43:51] Epoch:19/200, iteration:262/390, lr: 0.1, loss: 0.30873823165893555, time: 3.6244966983795166
[2022-11-02_10:43:55] Epoch:19/200, iteration:362/390, lr: 0.1, loss: 0.25432950258255005, time: 3.6151890754699707
[2022-11-02_10:43:59] Epoch:20/200, iteration:71/390, lr: 0.1, loss: 0.31856870651245117, time: 3.865752935409546
[2022-11-02_10:44:02] Epoch:20/200, iteration:171/390, lr: 0.1, loss: 0.2864548861980438, time: 3.608973979949951
[2022-11-02_10:44:06] Epoch:20/200, iteration:271/390, lr: 0.1, loss: 0.28807735443115234, time: 3.623414993286133
[2022-11-02_10:44:09] Epoch:20/200, iteration:371/390, lr: 0.1, loss: 0.3948669731616974, time: 3.626471996307373
==========Test result on benign test dataset==========
[2022-11-02_10:44:11] Top-1 correct / Total: 8144/10000, Top-1 accuracy: 0.8144, Top-5 correct / Total: 9902/10000, Top-5 accuracy: 0.9902, time: 1.8779997825622559
==========Test result on poisoned test dataset==========
[2022-11-02_10:44:13] Top-1 correct / Total: 9017/10000, Top-1 accuracy: 0.9017, Top-5 correct / Total: 9946/10000, Top-5 accuracy: 0.9946, time: 3.1863038539886475
[2022-11-02_10:44:16] Epoch:21/200, iteration:80/390, lr: 0.1, loss: 0.34420841932296753, time: 6.418427228927612
[2022-11-02_10:44:19] Epoch:21/200, iteration:180/390, lr: 0.1, loss: 0.39745786786079407, time: 3.604137659072876
[2022-11-02_10:44:23] Epoch:21/200, iteration:280/390, lr: 0.1, loss: 0.4390377998352051, time: 3.5901951789855957
[2022-11-02_10:44:27] Epoch:21/200, iteration:380/390, lr: 0.1, loss: 0.4689936935901642, time: 3.6253502368927
[2022-11-02_10:44:31] Epoch:22/200, iteration:89/390, lr: 0.1, loss: 0.24662406742572784, time: 3.931680917739868
[2022-11-02_10:44:34] Epoch:22/200, iteration:189/390, lr: 0.1, loss: 0.3494988679885864, time: 3.6120223999023438
[2022-11-02_10:44:38] Epoch:22/200, iteration:289/390, lr: 0.1, loss: 0.41043993830680847, time: 3.6141390800476074
[2022-11-02_10:44:41] Epoch:22/200, iteration:389/390, lr: 0.1, loss: 0.34408503770828247, time: 3.6159722805023193
[2022-11-02_10:44:45] Epoch:23/200, iteration:98/390, lr: 0.1, loss: 0.2043447196483612, time: 3.917612075805664
[2022-11-02_10:44:49] Epoch:23/200, iteration:198/390, lr: 0.1, loss: 0.19727228581905365, time: 3.6199910640716553
[2022-11-02_10:44:53] Epoch:23/200, iteration:298/390, lr: 0.1, loss: 0.2174612581729889, time: 3.612536668777466
[2022-11-02_10:44:56] Epoch:24/200, iteration:7/390, lr: 0.1, loss: 0.17182375490665436, time: 3.868830680847168
[2022-11-02_10:45:00] Epoch:24/200, iteration:107/390, lr: 0.1, loss: 0.2869803309440613, time: 3.6163241863250732
[2022-11-02_10:45:04] Epoch:24/200, iteration:207/390, lr: 0.1, loss: 0.35275885462760925, time: 3.6379261016845703
[2022-11-02_10:45:07] Epoch:24/200, iteration:307/390, lr: 0.1, loss: 0.4009234309196472, time: 3.617953300476074
[2022-11-02_10:45:11] Epoch:25/200, iteration:16/390, lr: 0.1, loss: 0.21073883771896362, time: 3.8928143978118896
[2022-11-02_10:45:15] Epoch:25/200, iteration:116/390, lr: 0.1, loss: 0.2731948494911194, time: 3.630953311920166
[2022-11-02_10:45:18] Epoch:25/200, iteration:216/390, lr: 0.1, loss: 0.2512592077255249, time: 3.6140286922454834
[2022-11-02_10:45:22] Epoch:25/200, iteration:316/390, lr: 0.1, loss: 0.17106342315673828, time: 3.617027759552002
[2022-11-02_10:45:26] Epoch:26/200, iteration:25/390, lr: 0.1, loss: 0.29353681206703186, time: 3.923023223876953
[2022-11-02_10:45:30] Epoch:26/200, iteration:125/390, lr: 0.1, loss: 0.30513879656791687, time: 3.62385630607605
[2022-11-02_10:45:33] Epoch:26/200, iteration:225/390, lr: 0.1, loss: 0.24490061402320862, time: 3.6225473880767822
[2022-11-02_10:45:37] Epoch:26/200, iteration:325/390, lr: 0.1, loss: 0.3429538309574127, time: 3.6424150466918945
[2022-11-02_10:45:41] Epoch:27/200, iteration:34/390, lr: 0.1, loss: 0.22774632275104523, time: 3.9083251953125
[2022-11-02_10:45:44] Epoch:27/200, iteration:134/390, lr: 0.1, loss: 0.2720642387866974, time: 3.6212635040283203
[2022-11-02_10:45:48] Epoch:27/200, iteration:234/390, lr: 0.1, loss: 0.2380066066980362, time: 3.622605323791504
[2022-11-02_10:45:52] Epoch:27/200, iteration:334/390, lr: 0.1, loss: 0.49760404229164124, time: 3.621135711669922
[2022-11-02_10:45:56] Epoch:28/200, iteration:43/390, lr: 0.1, loss: 0.3485776484012604, time: 3.9327635765075684
[2022-11-02_10:45:59] Epoch:28/200, iteration:143/390, lr: 0.1, loss: 0.19583100080490112, time: 3.6257357597351074
[2022-11-02_10:46:03] Epoch:28/200, iteration:243/390, lr: 0.1, loss: 0.24166280031204224, time: 3.609287738800049
[2022-11-02_10:46:06] Epoch:28/200, iteration:343/390, lr: 0.1, loss: 0.3466564118862152, time: 3.6265320777893066
[2022-11-02_10:46:10] Epoch:29/200, iteration:52/390, lr: 0.1, loss: 0.16593649983406067, time: 3.889801502227783
[2022-11-02_10:46:14] Epoch:29/200, iteration:152/390, lr: 0.1, loss: 0.2598366439342499, time: 3.615443468093872
[2022-11-02_10:46:18] Epoch:29/200, iteration:252/390, lr: 0.1, loss: 0.2975347340106964, time: 3.608833074569702
[2022-11-02_10:46:21] Epoch:29/200, iteration:352/390, lr: 0.1, loss: 0.22957099974155426, time: 3.607395648956299
[2022-11-02_10:46:25] Epoch:30/200, iteration:61/390, lr: 0.1, loss: 0.2038850039243698, time: 3.9733242988586426
[2022-11-02_10:46:29] Epoch:30/200, iteration:161/390, lr: 0.1, loss: 0.24841885268688202, time: 3.6169321537017822
[2022-11-02_10:46:32] Epoch:30/200, iteration:261/390, lr: 0.1, loss: 0.27804434299468994, time: 3.617849349975586
[2022-11-02_10:46:36] Epoch:30/200, iteration:361/390, lr: 0.1, loss: 0.39273616671562195, time: 3.615248441696167
==========Test result on benign test dataset==========
[2022-11-02_10:46:38] Top-1 correct / Total: 7909/10000, Top-1 accuracy: 0.7909, Top-5 correct / Total: 9887/10000, Top-5 accuracy: 0.9887, time: 2.2655270099639893
==========Test result on poisoned test dataset==========
[2022-11-02_10:46:39] Top-1 correct / Total: 9640/10000, Top-1 accuracy: 0.964, Top-5 correct / Total: 9949/10000, Top-5 accuracy: 0.9949, time: 3.5124704837799072
[2022-11-02_10:46:42] Epoch:31/200, iteration:70/390, lr: 0.1, loss: 0.3181869685649872, time: 6.420327425003052
[2022-11-02_10:46:46] Epoch:31/200, iteration:170/390, lr: 0.1, loss: 0.21867698431015015, time: 3.606426477432251
[2022-11-02_10:46:50] Epoch:31/200, iteration:270/390, lr: 0.1, loss: 0.2586098909378052, time: 3.6160595417022705
[2022-11-02_10:46:53] Epoch:31/200, iteration:370/390, lr: 0.1, loss: 0.3305312991142273, time: 3.607109785079956
[2022-11-02_10:46:57] Epoch:32/200, iteration:79/390, lr: 0.1, loss: 0.18758532404899597, time: 3.876490831375122
[2022-11-02_10:47:01] Epoch:32/200, iteration:179/390, lr: 0.1, loss: 0.21227146685123444, time: 3.6178267002105713
[2022-11-02_10:47:04] Epoch:32/200, iteration:279/390, lr: 0.1, loss: 0.21972624957561493, time: 3.6073155403137207
[2022-11-02_10:47:08] Epoch:32/200, iteration:379/390, lr: 0.1, loss: 0.250975102186203, time: 3.6158854961395264
[2022-11-02_10:47:12] Epoch:33/200, iteration:88/390, lr: 0.1, loss: 0.23857630789279938, time: 3.908550262451172
[2022-11-02_10:47:15] Epoch:33/200, iteration:188/390, lr: 0.1, loss: 0.17231588065624237, time: 3.600409746170044
[2022-11-02_10:47:19] Epoch:33/200, iteration:288/390, lr: 0.1, loss: 0.2459152638912201, time: 3.6188321113586426
[2022-11-02_10:47:23] Epoch:33/200, iteration:388/390, lr: 0.1, loss: 0.29327845573425293, time: 3.611966371536255
[2022-11-02_10:47:27] Epoch:34/200, iteration:97/390, lr: 0.1, loss: 0.2674505114555359, time: 3.867077589035034
[2022-11-02_10:47:30] Epoch:34/200, iteration:197/390, lr: 0.1, loss: 0.3909057080745697, time: 3.6060118675231934
[2022-11-02_10:47:34] Epoch:34/200, iteration:297/390, lr: 0.1, loss: 0.19133426249027252, time: 3.6200644969940186
[2022-11-02_10:47:38] Epoch:35/200, iteration:6/390, lr: 0.1, loss: 0.29162850975990295, time: 3.9049456119537354
[2022-11-02_10:47:41] Epoch:35/200, iteration:106/390, lr: 0.1, loss: 0.3070180416107178, time: 3.609445810317993
[2022-11-02_10:47:45] Epoch:35/200, iteration:206/390, lr: 0.1, loss: 0.2840375006198883, time: 3.61376690864563
[2022-11-02_10:47:49] Epoch:35/200, iteration:306/390, lr: 0.1, loss: 0.33762794733047485, time: 3.6196722984313965
[2022-11-02_10:47:52] Epoch:36/200, iteration:15/390, lr: 0.1, loss: 0.2997579574584961, time: 3.9395911693573
[2022-11-02_10:47:56] Epoch:36/200, iteration:115/390, lr: 0.1, loss: 0.19616729021072388, time: 3.6116952896118164
[2022-11-02_10:48:00] Epoch:36/200, iteration:215/390, lr: 0.1, loss: 0.25824111700057983, time: 3.610031843185425
[2022-11-02_10:48:03] Epoch:36/200, iteration:315/390, lr: 0.1, loss: 0.348759263753891, time: 3.6092817783355713
